# Dinsmoor. William Bell. 1931. The Archons of Athens in the Hellenistic Age.
# Cambridge: Harvard University Press.
# http://archive.org/details/archonsofathensi0000dins.
432 July  15 + He
    Aug.  14 - Me
    Sept. 12 + Bo
    Oct.  12 - Py
    Nov.  10 + Ma
    Dec.  10 - Po
431 Jan.   8 + Ga
    Feb.   7 - An
    March  8 + El
    April  7 + Mo
    May    7 - Th
    June   5 + Sk
    July   5 - He
    Aug.   3 + Me
    Sept.  2 - Bo
    Oct.   1 + Py
    Oct.  31 - Ma
    Nov.  29 + Po
    Dec.  29 - Po
430 Jan.  27 + Ga
    Feb.  26 - An
    March 27 + El
    April 26 - Mo
    May   25 + Th
    June  24 + Sk
    July  24 - He
    Aug.  22 + Me
    Sept. 21 - Bo
    Oct.  20 + Py
    Nov.  19 - Ma
    Dec.  18 + Po
429 Jan.  17 - Ga
    Feb.  15 + An
    March 16 - El
    April 14 - Mo
    May    4 - Th
    June  12 + Sk
    July  12 - He
    Aug.  10 + Me
    Sept.  9 - Bo
    Oct.   8 + Py
    Nov.   7 + Ma
    Dec.   7 - Po
428 Jan.   5 + Ga
    Feb.   4 - An
    March  5 + El
    April  4 - Mo
    May    3 + Th
    June   2 - Sk
    July   1 + He
    July  31 - Me
    Aug. 29 + Bo
    Sept. 23 - Py
    Oct.  27 + Ma
    Nov.  26 - Po
    Dec.  25 + Po
427 Jan.   4 - Ga
    Feb.  22 + An
    March 24 + El
    April 23 - Mo
    May   22 + Th
    June  21 - Sk
    July  20 + He
    Aug.  19 - Me
    Sept. 17 + Bo
    Oct.  17 - Py
    Nov.  15 + Ma
    Dec.  15 - Po
426 Jan.  13 + Ga
    Feb.  12 - An
    March 13 + El
    April 12 - Mo
    May   11 + Th
    June  10 - Sk
    July   9 + He
    Aug.   8 + Me
    Sept.  7 - Bo
    Oct.   6 + Py
    Nov.   5 - Ma
    Dec.   4 + Po
425 Jan.   3 - Po
    Feb.   1 + Ga
    March  2 - An
    March 31 + El
    April 30 - Mo
    May   29 + Th
    June  28 - Sk
    July  27 + He
    Aug.  26 - Me
    Sept. 24 + Bo
    Oct.  24 + Py
    Nov.  23 - Ma
    Dec.  22 + Po
424 Jan.  21 - Ga
    Feb.  19 + An
    March 21 - El
    April 19 + Mo
    May   19 - Th
    June  17 + Sk
    July  17 - He
    Aug.  15 + Me
    Sept. 14 - Bo
    Oct.  13 + Py
    Nov.  12 - Ma
    Dec.  11 + Po
423 Jan.  10 + Ga
    Feb.   9 - An
    March 10 + El
    April  9 - Mo
    May    8 + Th
    June   7 - Sk
    July   6 + He
    Aug.   5 - Me
    Sept.  3 + Bo
    Oct.   3 - Py
    Nov.   1 + Ma
    Dec.   1 - Po
    Dec.  30 + Ga
422 Jan.  29 - An
    Feb.  27 + El
    March 29 - Mo
    April 27 + Th
    May   27 + Sk
    June  26 - He
    July  25 + Me
    Aug.  24 - Bo
    Sept. 22 + Py
    Oct.  22 - Ma
    Nov.  20 + Po
    Dec.  20 - Po
421 Jan.  18 + Ga
    Feb.  17 - An
    March 17 + El
    April 16 - Mo
    May   15 + Th
    June  14 + Sk
    July  14 - He
    Aug. 12 + Me
    Sept. 11 - Bo
    Oct.  10 + Py
    Nov.   9 - Ma
    Dec.   8 + Po
420 Jan.   7 - Ga
    Feb.   5 + An
    March  7 - El
    April  5 + Mo
    May    5 - Th
    June   3 + Sk
    July   3 - He
    Aug.   1 + Me
    Aug.  31 - Bo
    Sept. 29 + Py
    Oct.  29 - Ma
    Nov.  27 + Po
    Dec.  27 + Ga
419 Jan.  26 - An
    Feb.  24 + El
    March 26 - Mo
    April 24 + Th
    May   24 - Sk
    June  22 + He
    July  22 - Me
    Aug.  20 + Bo
    Sept. 19 - Py
    Oct.  18 + Ma
    Nov.  17 - Po
    Dec.  16 + Po
418 Jan.  15 - Ga
    Feb.  13 + An
    March 15 + El
    April 14 - Mo
    May   13 + Th
    June  12 - Sk
    July  11 + He
    Aug.  10 - Me
    Sept.  8 + Bo
    Oct.   8 - Py
    Nov.   6 + Ma
    Dec.   6 - Po
417 Jan.   4 + Ga
    Feb.   3 - An
    March  3 + El
    April  2 - Mo
    May    1 + Th
    May   31 - Sk
    June  29 + He
    July  29 + Me
    Aug.  28 - Bo
    Sept. 26 + Py
    Oct.  26 - Ma
    Nov.  24 + Po
    Dec.  24 - Po
416 Jan.  22 + Ga
    Feb.  21 - An
    March 22 + El
    April 21 - Mo
    May   20 + Th
    June  19 - Sk
    July  18 + He
    Aug.  17 - Me
    Sept. 15 + Bo
    Oct.  15 + Py
    Nov.  14 - Ma
    Dec.  13 + Po
415 Jan.  12 - Ga
    Feb.  10 + An
    March 12 - El
    April 10 + Mo
    May   10 - Th
    June   8 + Sk
    July   8 - He
    Aug.   6 + He*
    Sept.  5 - Me
    Oct.   4 + Bo
    Nov.   3 - Py
    Dec.   2 + Ma
414 Jan.   1 - Po
    Jan.  30 + Ga
    March  1 + An
    March 31 - El
    April 29 + Mo
    May   29 - Th
    June  27 + Sk
    July  27 - He
    Aug.  25 + Me
    Sept. 24 - Bo
    Oct.  23 + Py
    Nov.  22 - Ma
    Dec.  21 + Po
413 Jan.  20 - Po
    Feb.  18 + Ga
    March 19 - An
    April 17 + El
    May   17 - Th*
    June  15 + Sk
    July  15 + He
    Aug.  14 - Me
    Sept. 12 + Bo
    Oct.  12 - Py
    Nov.  10 + Ma
    Dec.  10 - Po
412 Jan.   8 + Ga
    Feb.   7 - An
    March  8 + El
    April  7 + Mo
    May    7 - Th
    June   5 + Sk
    July   5 - He
    Aug.   3 + Me
    Sept.  2 - Bo
    Oct.   1 + Py
    Oct.  31 - Ma
    Nov.  29 + Po
    Dec.  29 - Po
411 Jan.  27 + Ga
    Feb.  26 - An
    March 27 + El
    April 26 - Mo
    May   25 + Th
    June  24 + Sk
    July  24 - He
    Aug.  22 + Me
    Sept. 21 - Bo
    Oct.  20 + Py
    Nov.  19 - Ma
    Dec.  18 + Po
410 Jan.  17 - Ga
    Feb.  15 + An
    March 17 - El
    April 15 + Mo
    May   15 - Th
    June  13 + Sk
    July  13 - He
    Aug.  11 + Me
    Sept. 10 - Bo
    Oct.   9 + Py
    Nov.   8 + Ma
    Dec.   8 - Po
409 Jan.   6 + Ga
    Feb.   5 - An
    March  5 + El
    April  4 - Mo
    May    3 + Th
    June   2 - Sk
    July   1 + He
    July  31 - Me
    Aug.  29 + Bo
    Sept. 28 - Py
    Oct.  27 + Ma
    Nov.  26 - Po
    Dec.  25 + Po
408 Jan.  24 + Ga
    Feb.  23 - An
    March 24 + El
    April 23 - Mo
    May   22 + Th
    June  21 - Sk
    July  20 + He
    Aug.  19 - Me
    Sept. 17 + Bo
    Oct.  17 - Py
    Nov.  15 + Ma
    Dec.  15 - Po
407 Jan.  13 + Ga
    Feb.  12 - An
    March 13 + El
    April 12 - Mo
    May   11 + Th
    June  10 + Sk
    July  10 - He
    Aug.   8 + Me
    Sept.  7 - Bo
    Oct.   6 + Py
    Nov.   5 - Ma
    Dec.   4 + Po
406 Jan.   3 - Ga
    Feb.   1 + An
    March  3 - El
    April  1 + Mo
    May    1 - Th
    May   30 + Sk
    June  29 - He
    July  28 + Me
    Aug.  27 + Bo
    Sept. 26 - Py
    Oct.  25 + Ma
    Nov.  24 - Po
    Dec.  23 + Po
405 Jan.  22 - Ga
    Feb.  20 + An
    March 21 - El
    April 19 + Mo
    May   19 - Th
    June  17 + Sk
    July  17 - He
    Aug.  15 + Me
    Sept. 14 - Bo
    Oct.  13 + Py
    Nov.  12 - Ma
    Dec.  11 + Po
404 Jan.  10 + Ga
    Feb.   9 - An
    March 10 + El
    April  9 - Mo
    May    8 + Th
    June   7 - Sk
    July   6 + He
    Aug.   5 - Me
    Sept.  3 + Bo
    Oct.   3 - Py
    Nov.   1 + Ma
    Dec.   1 - Po
    Dec.  30 + Po
403 Jan.  29 - Ga
    Feb.  27 + An
    March 29 + El
    April 28 - Mo
    May   27 + Th
    June  26 - Sk
    July  25 + He
    Aug.  24 - Me
    Sept. 22 + Bo
    Oct.  22 - Py
    Nov.  20 + Ma
    Dec.  20 - Po
402 Jan.  18 + Ga
    Feb.  17 - An
    March 18 + El
    April 17 - Mo
    May   16 + Th
    June  15 - Sk
    July  14 + He
    Aug.  13 + Me
    Sept. 12 - Bo
    Oct.  11 + Py
    Nov.  10 - Ma
    Dec.   9 + Po
401 Jan.   8 - Ga
    Feb.   6 + An
    March  7 - El
    April  5 + Mo
    May    5 - Th
    June   3 + Sk
    July   3 - He
    Aug.   1 + Me
    Aug.  31 - Bo
    Sept. 29 + Py
    Oct.  29 + Ma
    Nov.  28 - Po
    Dec.  27 + Po
400 Jan.  26 - Ga
    Feb.  24 + An
    March 26 - El
    April 24 + Mo
    May   24 - Th
    June  22 + Sk
    July  22 - He
    Aug.  20 + Me
    Sept. 19 - Bo
    Oct.  18 + Py
    Nov.  17 - Ma
    Dec.  16 + Po
399 Jan.  15 - Ga
    Feb.  13 + An
    March 15 + El
    April 14 - Mo
    May   13 + Th
    June  12 - Sk
    July  11 + He
    Aug.  10 - Me
    Sept.  8 + Bo
    Oct.   8 - Py
    Nov.   6 + Ma
    Dec.   6 - Po
398 Jan.   4 + Ga
    Feb.   3 - An
    March  4 + El
    April  3 - Mo
    May    2 + Th
    June   1 - Sk
    June  30 + He
    July  30 + Me
    Aug.  29 - Bo
    Sept. 27 + Py
    Oct.  27 - Ma
    Nov.  25 + Po
    Dec.  25 - Po
397 Jan.  23 + Ga
    Feb.  22 - An
    March 22 + El
    April 21 - Mo
    May   20 + Th
    June  19 - Sk
    July  18 + He
    Aug.  17 - Me
    Sept. 15 + Bo
    Oct.  15 + Py
    Nov.  14 - Ma
    Dec.  13 + Po
396 Jan.  12 - Ga
    Feb.  10 + An
    March 12 - El
    April 10 + Mo
    May   10 - Th
    June   8 + Sk
    July   8 - He
    Aug.   6 + Me
    Sept.  5 - Bo
    Oct.   4 + Py
    Nov.   3 - Ma
    Dec.   2 + Po
395 Jan.   1 + Po
    Jan.  31 - Ga
    March  1 + An
    March 31 - El
    April 29 + Mo
    May   29 - Th
    June  27 + Sk
    July  27 - He
    Aug.  25 + Me
    Sept. 24 - Bo
    Oct.  23 + Py
    Nov.  22 - Ma
    Dec.  21 + Po
394 Jan.  20 - Ga
    Feb.  18 + An
    March 20 - El
    April 18 + Mo
    May   18 - Th
    June  16 + Sk
    July  16 + He
    Aug.  15 - Me
    Sept. 13 + Bo
    Oct.  13 - Py
    Nov.  11 + Ma
    Dec.  11 - Po
393 Jan.   9 + Ga
    Feb.   8 - An
    March  8 + El
    April  7 + Mo
    May    7 - Th
    June   5 + Sk
    July   5 - He
    Aug.   3 + Me
    Sept.  2 - Bo
    Oct.   1 + Py
    Oct.  31 - Ma
    Nov.  29 + Po
    Dec.  29 - Po
392 Jan.  27 + Ga
    Feb.  26 - An
    March 27 + El
