"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-398	"399/398 BCE"	"O"	"BCE 0399-Jul-12"	"BCE 0398-Jul-01"	355	"BCE 0399-Jun-28"	"Jul-12 Aug-11 Sep-09 Oct-08 Nov-07 Dec-07 Jan-06 Feb-04 Mar-06 Apr-05 May-04 Jun-03"	"FhhFFFhFFhFh"	"Jul-12 Aug-17 Sep-22 Oct-28 Dec-03 Jan-07 Feb-11 Mar-18 Apr-22 May-27"
-397	"398/397 BCE"	"I"	"BCE 0398-Jul-02"	"BCE 0397-Jul-19"	384	"BCE 0398-Jun-28"	"Jul-02 Jul-31 Aug-30 Sep-28 Oct-27 Nov-26 Dec-26 Jan-24 Feb-23 Mar-24 Apr-23 May-22 Jun-21"	"hFhhFFhFFFhFh"	"Jul-02 Aug-10 Sep-18 Oct-27 Dec-05 Jan-12 Feb-19 Mar-28 May-05 Jun-12"
-396	"397/396 BCE"	"O"	"BCE 0397-Jul-20"	"BCE 0396-Jul-08"	354	"BCE 0397-Jun-28"	"Jul-20 Aug-18 Sep-17 Oct-16 Nov-15 Dec-14 Jan-13 Feb-11 Mar-13 Apr-12 May-11 Jun-10"	"hFhFhFhFFhFh"	"Jul-20 Aug-25 Sep-30 Nov-05 Dec-11 Jan-15 Feb-19 Mar-26 Apr-30 Jun-04"
-395	"396/395 BCE"	"O"	"BCE 0396-Jul-09"	"BCE 0395-Jun-28"	355	"BCE 0396-Jun-28"	"Jul-09 Aug-08 Sep-06 Oct-06 Nov-04 Dec-04 Jan-02 Feb-01 Mar-02 Apr-01 Apr-30 May-30"	"FhFhFhFhFhFF"	"Jul-09 Aug-14 Sep-19 Oct-25 Nov-30 Jan-04 Feb-08 Mar-15 Apr-19 May-24"
-394	"395/394 BCE"	"I"	"BCE 0395-Jun-29"	"BCE 0394-Jul-16"	383	"BCE 0395-Jun-28"	"Jun-29 Jul-28 Aug-27 Sep-25 Oct-25 Nov-23 Dec-23 Jan-21 Feb-20 Mar-21 Apr-19 May-19 Jun-18"	"hFhFhFhFhhFFh"	"Jun-29 Aug-07 Sep-15 Oct-24 Dec-02 Jan-09 Feb-16 Mar-26 May-03 Jun-10"
-393	"394/393 BCE"	"O"	"BCE 0394-Jul-17"	"BCE 0393-Jul-04"	354	"BCE 0394-Jun-28"	"Jul-17 Aug-16 Sep-15 Oct-14 Nov-13 Dec-12 Jan-11 Feb-09 Mar-10 Apr-08 May-07 Jun-06"	"FFhFhFhFhhFh"	"Jul-17 Aug-22 Sep-27 Nov-02 Dec-08 Jan-12 Feb-16 Mar-22 Apr-26 May-31"
-392	"393/392 BCE"	"I"	"BCE 0393-Jul-05"	"BCE 0392-Jul-23"	384	"BCE 0393-Jun-28"	"Jul-05 Aug-04 Sep-03 Oct-02 Nov-01 Dec-01 Dec-30 Jan-29 Feb-27 Mar-29 Apr-27 May-26 Jun-25"	"FFhFFhFhFhhFh"	"Jul-05 Aug-13 Sep-21 Oct-30 Dec-08 Jan-15 Feb-22 Apr-01 May-09 Jun-16"
-391	"392/391 BCE"	"O"	"BCE 0392-Jul-24"	"BCE 0391-Jul-13"	355	"BCE 0392-Jun-28"	"Jul-24 Aug-23 Sep-21 Oct-21 Nov-20 Dec-20 Jan-18 Feb-17 Mar-18 Apr-17 May-16 Jun-14"	"FhFFFhFhFhhF"	"Jul-24 Aug-29 Oct-04 Nov-09 Dec-15 Jan-19 Feb-23 Mar-30 May-04 Jun-08"
-390	"391/390 BCE"	"O"	"BCE 0391-Jul-14"	"BCE 0390-Jul-02"	354	"BCE 0391-Jun-28"	"Jul-14 Aug-12 Sep-10 Oct-10 Nov-09 Dec-09 Jan-08 Feb-06 Mar-08 Apr-06 May-06 Jun-04"	"hhFFFFhFhFhh"	"Jul-14 Aug-19 Sep-24 Oct-30 Dec-05 Jan-09 Feb-13 Mar-20 Apr-24 May-29"
-389	"390/389 BCE"	"I"	"BCE 0390-Jul-03"	"BCE 0389-Jul-20"	384	"BCE 0390-Jun-28"	"Jul-03 Aug-02 Aug-31 Sep-29 Oct-29 Nov-28 Dec-27 Jan-26 Feb-25 Mar-26 Apr-24 May-24 Jun-22"	"FhhFFhFFFhFhh"	"Jul-03 Aug-11 Sep-19 Oct-28 Dec-06 Jan-13 Feb-20 Mar-29 May-06 Jun-13"
-388	"389/388 BCE"	"O"	"BCE 0389-Jul-21"	"BCE 0388-Jul-10"	355	"BCE 0389-Jun-28"	"Jul-21 Aug-20 Sep-18 Oct-17 Nov-16 Dec-16 Jan-14 Feb-13 Mar-15 Apr-13 May-13 Jun-11"	"FhhFFhFFhFhF"	"Jul-21 Aug-26 Oct-01 Nov-06 Dec-12 Jan-16 Feb-20 Mar-27 May-01 Jun-05"
-387	"388/387 BCE"	"O"	"BCE 0388-Jul-11"	"BCE 0387-Jun-29"	354	"BCE 0388-Jun-28"	"Jul-11 Aug-09 Sep-08 Oct-07 Nov-05 Dec-05 Jan-04 Feb-02 Mar-04 Apr-02 May-02 Jun-01"	"hFhhFFhFhFFh"	"Jul-11 Aug-16 Sep-21 Oct-27 Dec-02 Jan-06 Feb-10 Mar-17 Apr-21 May-26"
